,YEAR,TEAM,SEED,ROUND,WAB,BADJ EM,BARTHAG,TALENT,BADJ O,BADJ D,ELITE SOS,WIN%,PPPO,K OFF,AVG HGT
317,2019,Oregon,12,16,-1.0,13.5,0.826,80.047,106.4,92.9,21.269,65.71429,1.061,106.247,78.551
318,2019,Prairie View A&M,16,68,-6.9,-4.1,0.388,1.736,101.0,105.1,9.729,63.63636,1.031,103.12,75.167
319,2019,Purdue,3,8,6.1,25.4,0.938,56.197,121.0,95.6,35.323,71.875,1.139,113.828,78.269
320,2019,Saint Louis,13,64,-3.0,5.7,0.661,66.081,101.1,95.4,17.33,65.71429,1.002,100.399,76.751
321,2019,Saint Mary's,11,64,-0.6,16.9,0.863,27.239,114.2,97.3,22.544,66.66667,1.127,112.69,77.747
322,2019,Seton Hall,10,64,-0.3,10.8,0.771,54.346,107.8,97.0,26.683,60.60606,1.043,104.576,78.156
323,2019,St. John's,11,68,-1.1,9.3,0.736,75.394,109.1,99.8,22.897,63.63636,1.06,105.988,76.611
324,2019,Syracuse,8,64,0.5,16.0,0.86,73.806,109.4,93.4,30.432,60.60606,1.032,103.506,79.404
325,2019,Temple,11,68,2.0,11.6,0.784,53.453,109.2,97.6,23.835,71.875,1.051,105.306,78.07
326,2019,Tennessee,2,16,9.8,27.9,0.951,55.685,122.9,95.0,34.04,84.84848,1.164,116.307,77.811
327,2019,Texas Tech,3,2,7.0,25.8,0.953,47.191,112.1,86.3,29.682,81.25,1.075,108.08,76.923
328,2019,UC Irvine,13,32,0.9,8.5,0.724,18.762,105.5,97.0,10.843,85.29412,1.081,108.285,76.732
329,2019,UCF,9,32,2.2,17.2,0.874,28.974,111.1,93.9,22.705,74.19355,1.071,107.069,78.779
330,2019,Utah St.,8,64,2.2,15.3,0.846,9.835,111.2,95.9,16.722,81.81818,1.123,112.264,77.916
331,2019,VCU,8,64,1.4,17.1,0.888,39.794,104.0,86.9,17.529,78.125,1.026,102.78,77.446
332,2019,Vermont,13,64,-0.8,9.1,0.735,7.768,107.2,98.1,10.844,81.25,1.094,109.909,76.477
333,2019,Villanova,6,32,3.7,16.4,0.854,68.466,115.1,98.7,25.545,73.52941,1.123,112.402,77.874
334,2019,Virginia,1,1,11.1,33.9,0.976,73.381,122.6,88.7,33.411,90.625,1.171,117.113,77.203
335,2019,Virginia Tech,4,16,5.0,23.7,0.93,66.436,118.0,94.3,30.716,75.0,1.141,114.004,76.946
336,2019,Washington,9,32,3.3,12.6,0.811,74.311,106.0,93.4,23.31,76.47059,1.036,103.564,77.264
337,2019,Wisconsin,5,64,6.2,20.1,0.913,59.597,108.9,88.8,36.867,69.69697,1.045,104.289,77.318
338,2019,Wofford,7,32,4.2,17.9,0.873,1.063,115.8,97.9,18.861,86.66667,1.182,117.982,76.813
339,2019,Yale,14,64,-0.7,8.1,0.707,15.117,110.1,102.0,14.894,75.0,1.099,110.061,77.204
340,2018,Alabama,9,32,-1.1,12.2,0.801,73.914,107.0,94.8,30.311,55.88235,1.03,102.776,78.097
341,2018,Arizona,4,64,3.8,17.3,0.862,82.727,117.4,100.1,22.509,79.41176,1.16,115.915,78.636
342,2018,Arizona St.,11,68,-1.2,15.1,0.83,53.908,117.2,102.1,22.863,64.51613,1.141,114.116,76.215
343,2018,Arkansas,7,64,2.8,16.7,0.855,39.343,117.0,100.3,30.695,67.64706,1.125,112.175,77.141
344,2018,Auburn,4,32,4.3,19.9,0.895,58.941,117.0,97.1,25.991,78.125,1.135,113.46,75.841
345,2018,Bucknell,14,64,-3.0,5.7,0.652,0.2,107.6,101.9,12.477,73.52941,1.103,110.427,77.029
346,2018,Buffalo,13,32,-1.3,11.0,0.763,10.891,113.6,102.6,14.057,75.75758,1.135,113.539,76.586
347,2018,Butler,10,32,1.7,19.9,0.898,52.743,115.4,95.5,35.194,60.60606,1.108,110.897,76.655
348,2018,Cal St. Fullerton,15,64,-5.5,-1.2,0.467,0.2,102.6,103.8,12.991,62.06897,1.032,102.99,76.687
349,2018,Cincinnati,2,32,5.9,24.6,0.947,63.963,111.1,86.5,21.576,88.23529,1.122,112.022,77.445
350,2018,Clemson,5,16,4.0,17.9,0.882,54.866,111.6,93.7,31.364,71.875,1.083,108.129,77.357
351,2018,College of Charleston,13,64,-2.1,1.6,0.543,4.156,106.7,105.1,10.655,77.41935,1.117,111.949,76.811
352,2018,Creighton,8,64,2.0,20.3,0.899,48.746,117.3,97.0,32.808,64.51613,1.142,114.134,77.285
353,2018,Davidson,12,64,-2.9,14.2,0.816,20.885,116.7,102.5,18.185,65.625,1.161,116.159,78.13
354,2018,Duke,2,8,6.6,29.3,0.958,92.943,123.2,93.9,31.36,78.78788,1.188,118.705,79.097
355,2018,Florida,6,32,1.4,20.8,0.907,69.428,116.0,95.2,31.853,62.5,1.102,109.73,76.89
356,2018,Florida St.,9,8,1.0,16.1,0.851,59.86,114.5,98.4,29.762,64.51613,1.11,110.767,78.496
357,2018,Georgia St.,15,64,-5.1,6.5,0.673,31.565,107.2,100.7,9.801,68.75,1.086,108.676,76.699
358,2018,Gonzaga,4,16,4.9,23.1,0.924,73.63,118.3,95.2,19.117,88.23529,1.199,120.03,78.446
