,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_em_2,barthag_1,barthag_2,elite_sos_1,elite_sos_2,k_off_1,k_off_2,pppo_1,pppo_2,talent_1,talent_2,wab_1,wab_2,win_percent_1,win_percent_2,winner,badj_em_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff
61,2023,Miami FL,5,4,4,Connecticut,4,1,15.9,26.4,0.842,0.947,23.676,29.244,114.539,114.228,1.147,1.144,44.964,62.486,3.7,4.9,78.125,75.75757576,0,-10.499999999999998,-1.2000000000000002,-0.10499999999999998,-17.522,-5.568000000000001,2.3674242400000054,0.0030000000000001137,0.31100000000000705
62,2023,San Diego St.,5,2,2,Connecticut,4,1,21.2,26.4,0.919,0.947,25.602,29.244,106.67,114.228,1.064,1.144,37.236,62.486,5.8,4.9,81.25,75.75757576,0,-5.199999999999999,0.8999999999999995,-0.027999999999999914,-25.25,-3.6419999999999995,5.492424240000005,-0.07999999999999985,-7.557999999999993
63,2022,Gonzaga,1,16,64,Georgia St.,16,64,32.4,1.4,0.973,0.54,24.951,12.187,118.885,99.6748,1.19,0.993,86.976,28.01,6.7,-5.2,89.65517,60.0,1,31.0,11.9,0.43299999999999994,58.965999999999994,12.764000000000001,29.65517,0.19699999999999995,19.2102
64,2022,Boise St.,8,64,64,Memphis,9,32,15.0,17.2,0.851,0.875,21.555,26.062,103.572,105.619,1.038,1.056,32.117,80.073,3.5,1.4,78.78788,67.74194,0,-2.1999999999999993,2.1,-0.02400000000000002,-47.955999999999996,-4.5070000000000014,11.045940000000002,-0.018000000000000016,-2.046999999999997
65,2022,Connecticut,5,64,64,New Mexico St.,12,32,17.8,8.6,0.879,0.726,27.203,14.913,109.555,104.869,1.099,1.05,54.692,16.577,3.2,0.7,71.875,79.31034,0,9.200000000000001,2.5,0.15300000000000002,38.114999999999995,12.29,-7.4353399999999965,0.04899999999999993,4.686000000000007
66,2022,Arkansas,4,8,64,Vermont,13,64,17.4,11.2,0.88,0.778,27.25,8.437,106.057,114.506,1.06,1.143,47.294,4.679,4.5,-0.8,75.75758,84.375,1,6.199999999999999,5.3,0.10199999999999998,42.614999999999995,18.813000000000002,-8.617419999999996,-0.08299999999999996,-8.448999999999998
67,2022,Alabama,6,64,64,Notre Dame,11,32,17.8,14.8,0.872,0.836,34.827,27.584,109.137,108.378,1.087,1.083,62.2,72.248,2.0,1.8,59.375,67.74194,0,3.0,0.19999999999999996,0.03600000000000003,-10.048000000000002,7.2429999999999986,-8.36694,0.0040000000000000036,0.7590000000000003
68,2022,Texas Tech,3,16,64,Montana St.,14,64,23.6,2.2,0.943,0.562,35.796,7.984,104.973,108.242,1.051,1.084,22.03,7.356,6.5,-2.8,73.52941,78.125,1,21.400000000000002,9.3,0.3809999999999999,14.674000000000001,27.811999999999998,-4.595590000000001,-0.03300000000000014,-3.2690000000000055
69,2022,Michigan St.,7,32,64,Davidson,10,64,15.4,14.2,0.848,0.818,32.331,16.861,105.927,113.241,1.059,1.132,75.799,36.235,2.9,2.1,64.70588,81.25,1,1.200000000000001,0.7999999999999998,0.030000000000000027,39.56400000000001,15.470000000000002,-16.544120000000007,-0.07299999999999995,-7.313999999999993
70,2022,Duke,2,4,64,Cal St. Fullerton,15,64,26.0,-1.2,0.943,0.466,28.364,10.89,117.152,103.807,1.169,1.036,91.521,12.413,7.2,-5.1,82.35294,65.51724,1,27.2,12.3,0.4769999999999999,79.108,17.474,16.835700000000003,0.133,13.344999999999999
71,2022,Baylor,1,32,64,Norfolk St.,16,64,26.8,-2.2,0.952,0.438,35.472,6.905,111.13,103.718,1.112,1.032,55.889,7.809,8.9,-3.1,81.25,77.77778,1,29.0,12.0,0.514,48.080000000000005,28.567,3.472219999999993,0.08000000000000007,7.411999999999992
72,2022,North Carolina,8,2,64,Marquette,9,64,16.9,12.6,0.866,0.807,29.665,29.119,109.416,103.451,1.096,1.033,87.453,58.313,4.3,0.7,72.72727,61.29032,1,4.299999999999999,3.5999999999999996,0.05899999999999994,29.14,0.5459999999999994,11.436950000000003,0.06300000000000017,5.965000000000003
73,2022,Saint Mary's,5,32,64,Indiana,12,64,17.7,17.5,0.887,0.884,25.887,29.313,106.095,103.985,1.06,1.04,32.634,72.37,3.9,0.3,77.41935,60.60606,1,0.1999999999999993,3.6,0.0030000000000000027,-39.736000000000004,-3.4259999999999984,16.813289999999995,0.020000000000000018,2.1099999999999994
74,2022,UCLA,4,16,64,Akron,13,64,23.5,2.1,0.933,0.558,27.038,9.639,111.821,107.883,1.117,1.082,79.66,14.226,5.1,-4.3,78.125,70.96774,1,21.4,9.399999999999999,0.375,65.434,17.399,7.157259999999994,0.03499999999999992,3.9380000000000024
75,2022,Texas,6,32,64,Virginia Tech,11,64,21.1,19.8,0.918,0.898,35.097,28.436,105.723,111.1,1.056,1.111,78.557,20.673,3.3,1.7,65.625,65.71429,1,1.3000000000000007,1.5999999999999999,0.020000000000000018,57.884,6.661000000000001,-0.08929000000000542,-0.05499999999999994,-5.376999999999995
76,2022,Purdue,3,16,64,Yale,14,64,25.1,1.4,0.933,0.541,30.201,14.651,118.576,101.727,1.185,1.017,60.487,9.416,7.1,-4.9,79.41176,62.06897,1,23.700000000000003,12.0,0.392,51.071,15.55,17.34279,0.16800000000000015,16.84899999999999
77,2022,Murray St.,7,32,64,San Francisco,10,64,14.6,17.2,0.838,0.877,12.852,24.113,113.009,107.272,1.131,1.076,18.119,3.516,3.5,1.6,93.10345,71.875,1,-2.5999999999999996,1.9,-0.039000000000000035,14.603,-11.261,21.228449999999995,0.05499999999999994,5.736999999999995
78,2022,Kentucky,2,64,64,Saint Peter's,15,8,25.2,3.5,0.939,0.604,32.472,12.317,114.407,98.7557,1.142,0.983,74.515,0.2,6.9,-5.6,78.78788,62.06897,0,21.7,12.5,0.33499999999999996,74.315,20.155,16.71891,0.15899999999999992,15.651299999999992
79,2022,Arizona,1,16,64,Wright St.,16,64,25.6,-2.7,0.943,0.427,24.936,8.923,115.613,108.996,1.155,1.086,69.26,9.944,8.8,-8.4,91.17647,60.60606,1,28.3,17.200000000000003,0.516,59.316,16.012999999999998,30.570409999999995,0.06899999999999995,6.617000000000004
80,2022,Seton Hall,8,64,64,TCU,9,32,13.5,14.5,0.826,0.841,28.752,36.146,103.686,101.094,1.038,1.01,67.935,65.515,2.1,2.9,66.66667,62.5,0,-1.0,-0.7999999999999998,-0.015000000000000013,2.4200000000000017,-7.394000000000002,4.166669999999996,0.028000000000000025,2.592000000000013
